SchemaName	TableName	column_id	ColumnName	DataType	max_length	is_nullable
dbo	tbExpenseDetails	1	ID	int	4	1
dbo	tbExpenseDetails	2	ExpenseTransDate	date	3	1
dbo	tbExpenseDetails	3	ExpensePerdiem	varchar	1	1
dbo	tbExpenseDetails	4	ExpenseParticulars	varchar	-1	1
dbo	tbExpenseDetails	5	ExpenseInvoice	varchar	25	1
dbo	tbExpenseDetails	6	ExpenseMultiplier	int	4	1
dbo	tbExpenseDetails	7	ExpenseType	varchar	10	1
dbo	tbExpenseDetails	8	ExpenseCategory	varchar	25	1
dbo	tbExpenseDetails	9	ExpenseAmount	float	8	1
dbo	tbExpenseDetails	10	ExpenseRemarks	varchar	-1	1
dbo	tbExpenseDetails	11	ExpenseStatus	varchar	5	1
dbo	tbExpenseDetails	12	UserID	int	4	1
dbo	tbExpenseDetails	13	ExpenseTotalAmount	float	8	1
dbo	tbExpenseDetails	14	ExpenseLocation	varchar	50	1
dbo	tbExpenseDetails	15	ReportID	varchar	50	1
dbo	tbExpenseDetails	16	WorkWith	nvarchar	100	1
dbo	tbExpenseDetails	17	ServiceNumber	nvarchar	100	1
dbo	tbExpenseDetails	18	Instrument	nvarchar	100	1
dbo	tbExpenseDetails	19	SerialNumber	nvarchar	100	1
dbo	tbExpenseDetails	20	Sort	int	4	1
dbo	tbExpenseDetails	21	MDays	varchar	10	1
dbo	tbExpenseDetails	22	Computation	varchar	255	1
dbo	tbExpenseDetails	23	TotDays	varchar	10	1
dbo	tbExpenseDetails	24	NumberEdited	int	4	1
dbo	tbExpenseDetails2	1	ID	int	4	1
dbo	tbExpenseDetails2	2	ExpenseTransDate	date	3	1
dbo	tbExpenseDetails2	3	ExpensePerdiem	varchar	1	1
dbo	tbExpenseDetails2	4	ExpenseParticulars	varchar	-1	1
dbo	tbExpenseDetails2	5	ExpenseInvoice	varchar	25	1
dbo	tbExpenseDetails2	6	ExpenseMultiplier	int	4	1
dbo	tbExpenseDetails2	7	ExpenseType	varchar	10	1
dbo	tbExpenseDetails2	8	ExpenseCategory	varchar	25	1
dbo	tbExpenseDetails2	9	ExpenseAmount	float	8	1
dbo	tbExpenseDetails2	10	ExpenseRemarks	varchar	-1	1
dbo	tbExpenseDetails2	11	ExpenseStatus	varchar	5	1
dbo	tbExpenseDetails2	12	UserID	int	4	1
dbo	tbExpenseDetails2	13	ExpenseTotalAmount	float	8	1
dbo	tbExpenseDetails2	14	ExpenseLocation	varchar	50	1
dbo	tbExpenseDetails2	15	ReportID	varchar	50	1
dbo	tbExpenseDetails2	16	WorkWith	nvarchar	100	1
dbo	tbExpenseDetails2	17	ServiceNumber	nvarchar	100	1
dbo	tbExpenseDetails2	18	Instrument	nvarchar	100	1
dbo	tbExpenseDetails2	19	SerialNumber	nvarchar	100	1
dbo	tbExpenseDetails2	20	MDays	varchar	10	1
dbo	tbExpenseDetails2	21	Computation	varchar	255	1
dbo	tbExpenseDetails2	22	TotDays	varchar	10	1
dbo	tbExpenseDetails2	23	Sort	int	4	1
dbo	tbExpenseDetailsHistory	1	id	int	4	1
dbo	tbExpenseDetailsHistory	2	ExpenseTransDate	date	3	1
dbo	tbExpenseDetailsHistory	3	ExpensePerdiem	varchar	1	1
dbo	tbExpenseDetailsHistory	4	ExpenseParticulars	varchar	-1	1
dbo	tbExpenseDetailsHistory	5	ExpenseInvoice	varchar	25	1
dbo	tbExpenseDetailsHistory	6	ExpenseMultiplier	int	4	1
dbo	tbExpenseDetailsHistory	7	ExpenseType	varchar	10	1
dbo	tbExpenseDetailsHistory	8	ExpenseCategory	varchar	25	1
dbo	tbExpenseDetailsHistory	9	ExpenseAmount	float	8	1
dbo	tbExpenseDetailsHistory	10	ExpenseRemarks	varchar	-1	1
dbo	tbExpenseDetailsHistory	11	ExpenseStatus	varchar	5	1
dbo	tbExpenseDetailsHistory	12	UserID	int	4	1
dbo	tbExpenseDetailsHistory	13	ExpenseTotalAmount	float	8	1
dbo	tbExpenseDetailsHistory	14	ExpenseLocation	varchar	50	1
dbo	tbExpenseDetailsHistory	15	ReportID	varchar	50	1
dbo	tbExpenseDetailsHistory	16	WorkWith	nvarchar	100	1
dbo	tbExpenseDetailsHistory	17	ServiceNumber	nvarchar	100	1
dbo	tbExpenseDetailsHistory	18	Instrument	nvarchar	100	1
dbo	tbExpenseDetailsHistory	19	SerialNumber	nvarchar	100	1
dbo	tbExpenseDetailsHistory	20	Sort	int	4	1
dbo	tbExpenseDetailsHistory	21	EditedByUserID	bigint	8	1
dbo	tbExpenseDetailsHistory	22	DateCreated	datetime	8	1
dbo	tbExpenseDetailsHistory	23	MDays	varchar	10	1
dbo	tbExpenseDetailsHistory	24	Computation	varchar	255	1
dbo	tbExpenseDetailsHistory	25	TotDays	varchar	10	1
dbo	tbExpenseMealItem	1	id	int	4	0
dbo	tbExpenseMealItem	2	Meal	varchar	50	1
dbo	tbExpenseMealItem	3	PaidFor	varchar	1	1
dbo	tbExpenseMealItem	4	PaidEmp	varchar	100	1
dbo	tbExpenseMealItem	5	ExpenseID	bigint	8	1
dbo	tbExpenseTransportationItem	1	id	int	4	0
dbo	tbExpenseTransportationItem	2	expense_id	bigint	8	1
dbo	tbExpenseTransportationItem	3	FareID	varchar	1	1
dbo	tbExpenseTransportationItem	4	FareFrom	varchar	50	1
dbo	tbExpenseTransportationItem	5	FareTo	varchar	50	1
dbo	tbReportAuthority	1	id	bigint	8	0
dbo	tbReportAuthority	2	ReportID	varchar	50	1
dbo	tbReportAuthority	3	SignID	bigint	8	1
dbo	tbReportAuthority	4	UserID	bigint	8	1
dbo	tbReportAuthority	5	AuthoritySignature	varbinary	-1	1
dbo	tbReportDetails	1	ID	varchar	50	0
dbo	tbReportDetails	2	ReportDateFrom	date	3	1
dbo	tbReportDetails	3	ReportDateTo	date	3	1
dbo	tbReportDetails	4	ReportDescription	varchar	-1	1
dbo	tbReportDetails	5	UserID	int	4	1
dbo	tbReportDetails	6	ReportStatus	varchar	1	1
dbo	tbReportDetails	7	ReportEndorseSignature	varbinary	-1	1
dbo	tbReportDetails	8	ReportEndorseStatus	varchar	20	1
dbo	tbReportDetails	9	ReportDateFiled	varchar	25	1
dbo	tbReportDetails	10	ReportFileStatus	varchar	1	1
dbo	tbReportDetails	11	ExpenseID	int	4	1
dbo	tbReportDetails	12	ReportPrintStatus	varchar	1	1
dbo	tbReportDetails	13	ReportReturnedForModi	varchar	-1	1
dbo	tbReportDetails	14	ReportNumberStatus	int	4	1
dbo	tbReportDetails	15	ReportReserveSignature	varbinary	-1	1
