SPECIFIC_SCHEMA	SPECIFIC_NAME
dbo	sp_InsertSendingStatus
dbo	sp_Notify
dbo	sp_rptER
dbo	sp_rptERSig
dbo	sp_WriteToFile
dbo	sp2_AddDeptSign
dbo	sp2_AddExpense
dbo	sp2_AddExpense2
dbo	sp2_AddExpenseHisto
dbo	sp2_AddExpenseLogs
dbo	sp2_AddReportData
dbo	sp2_AddSignature
dbo	sp2_AddUserAccount
dbo	sp2_ChangePassword
dbo	sp2_DeleteVar
dbo	sp2_InsertAdminLogin
dbo	sp2_InsertApproveReport
dbo	sp2_InsertAttachment
dbo	sp2_InsertExeUpdater
dbo	sp2_InsertFare
dbo	sp2_InsertLookUp
dbo	sp2_InsertNotification
dbo	sp2_InsertReportUpdater
dbo	sp2_InsertUpdater
dbo	sp2_InsertUserExpenseMeal
dbo	sp2_InsertUserExpenseTrans
dbo	sp2_Load1stApprover
dbo	sp2_Load2ndApprover
dbo	sp2_LoadClientData
dbo	sp2_LoadClientToGrid
dbo	sp2_LoadDataReport
dbo	sp2_LoadDataReport_Three
dbo	sp2_LoadDeparmentManager
dbo	sp2_LoadDepartment
dbo	sp2_LoadDuplicateUser
dbo	sp2_LoadDuplicateUserID
dbo	sp2_LoadEReportDetails
dbo	sp2_LoadEReportExpenseDetails
dbo	sp2_LoadExecutableFile
dbo	sp2_LoadExeUpdate
dbo	sp2_LoadExpenceDetails
dbo	sp2_LoadExpense
dbo	sp2_LoadExpense_Three
dbo	sp2_LoadFare
dbo	sp2_LoadingExpenseCount
dbo	sp2_LoadLookUp
dbo	sp2_LoadNotification
dbo	sp2_LoadOfficersToSign
dbo	sp2_LoadreportID
dbo	sp2_LoadReportUpdater
dbo	sp2_LoadReportViewer
dbo	sp2_LoadSharedVerification
dbo	sp2_LoadSignatorySigned
dbo	sp2_LoadUpdater
dbo	sp2_LoadUserAcc
dbo	sp2_LoadUserAccEmail
dbo	sp2_LoadUserAccFiled
dbo	sp2_LoadUserAccountAdmin
dbo	sp2_LoadUserAccountByDept
dbo	sp2_LoadUserAccPending
dbo	sp2_LoadUserExpenseMeal
dbo	sp2_LoadUserExpenseTrans
dbo	sp2_LoadUserIDMax
dbo	sp2_LoadUserRate
dbo	sp2_LoadUserRates
dbo	sp2_LoadUserReportDetails
dbo	sp2_LoadUserReportDetailsCancel
dbo	sp2_LoadUserReportDetailsDONE
dbo	sp2_LoadUserReportDetailsFILED
dbo	sp2_LoadUserWorkWIth
dbo	sp2_LoginUser
dbo	sp2_RefileER
dbo	sp2_rptExpenseSummary
dbo	sp2_SearchDataReport
dbo	sp2_UpdateDeptSign
dbo	sp2_UpdateEmailSetup
dbo	sp2_updateExpense
dbo	sp2_UpdateReportData
dbo	sp2_UpdateReportNumberStatus
dbo	sp2_UpdateReportNumberStatus_ByPass
dbo	sp2_UpdateReportStatus
dbo	sp2_UpdateUserAcc
