TABLE_SCHEMA	TABLE_NAME	ORDINAL_POSITION	COLUMN_NAME	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	NUMERIC_PRECISION	NUMERIC_SCALE	IS_NULLABLE	COLUMN_DEFAULT
dbo	tbCashAdvance	1	ID	int	NULL	10	0	NO	NULL
dbo	tbCashAdvance	2	ReportID	varchar	50	NULL	NULL	YES	NULL
dbo	tbCashAdvance	3	emp_userID	int	NULL	10	0	YES	NULL
dbo	tbCashAdvance	4	CashAmount	float	NULL	53	NULL	YES	NULL
dbo	tbCashAdvance	5	CashDate	varchar	50	NULL	NULL	YES	NULL
dbo	tbCashAdvance	6	CashRefDoc	varchar	50	NULL	NULL	YES	NULL
dbo	tbCashAdvance	7	CashRefNo	varchar	50	NULL	NULL	YES	NULL
dbo	tbCashAdvance	8	BalanceTo	varchar	50	NULL	NULL	YES	NULL
dbo	tbCashAdvance	9	RevolvingFund	varchar	50	NULL	NULL	YES	NULL
dbo	tbCashAdvance	10	CashCheck	varchar	1	NULL	NULL	YES	NULL
dbo	tbExeUpdater	1	ID	int	NULL	10	0	NO	NULL
dbo	tbExeUpdater	2	FileName	varchar	50	NULL	NULL	YES	NULL
dbo	tbExeUpdater	3	FileLocation	varchar	-1	NULL	NULL	YES	NULL
dbo	tbExeUpdater	4	FileExe	varbinary	-1	NULL	NULL	YES	NULL
dbo	tbExeUpdater	5	FileVersion	varchar	10	NULL	NULL	YES	NULL
dbo	tbExeUpdater	6	DateUpdated	datetime	NULL	NULL	NULL	YES	(getdate())
dbo	tbExpenseDetails	1	ID	int	NULL	10	0	YES	NULL
dbo	tbExpenseDetails	2	ExpenseTransDate	date	NULL	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	3	ExpensePerdiem	varchar	1	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	4	ExpenseParticulars	varchar	-1	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	5	ExpenseInvoice	varchar	25	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	6	ExpenseMultiplier	int	NULL	10	0	YES	NULL
dbo	tbExpenseDetails	7	ExpenseType	varchar	10	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	8	ExpenseCategory	varchar	25	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	9	ExpenseAmount	float	NULL	53	NULL	YES	NULL
dbo	tbExpenseDetails	10	ExpenseRemarks	varchar	-1	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	11	ExpenseStatus	varchar	5	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	12	UserID	int	NULL	10	0	YES	NULL
dbo	tbExpenseDetails	13	ExpenseTotalAmount	float	NULL	53	NULL	YES	NULL
dbo	tbExpenseDetails	14	ExpenseLocation	varchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	15	ReportID	varchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	16	WorkWith	nvarchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	17	ServiceNumber	nvarchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	18	Instrument	nvarchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	19	SerialNumber	nvarchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	20	Sort	int	NULL	10	0	YES	((0))
dbo	tbExpenseDetails	21	MDays	varchar	10	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	22	Computation	varchar	255	NULL	NULL	YES	('')
dbo	tbExpenseDetails	23	TotDays	varchar	10	NULL	NULL	YES	NULL
dbo	tbExpenseDetails	24	NumberEdited	int	NULL	10	0	YES	((0))
dbo	tbExpenseDetails2	1	ID	int	NULL	10	0	YES	NULL
dbo	tbExpenseDetails2	2	ExpenseTransDate	date	NULL	NULL	NULL	YES	NULL
dbo	tbExpenseDetails2	3	ExpensePerdiem	varchar	1	NULL	NULL	YES	NULL
dbo	tbExpenseDetails2	4	ExpenseParticulars	varchar	-1	NULL	NULL	YES	NULL
dbo	tbExpenseDetails2	5	ExpenseInvoice	varchar	25	NULL	NULL	YES	NULL
dbo	tbExpenseDetails2	6	ExpenseMultiplier	int	NULL	10	0	YES	NULL
dbo	tbExpenseDetails2	7	ExpenseType	varchar	10	NULL	NULL	YES	NULL
dbo	tbExpenseDetails2	8	ExpenseCategory	varchar	25	NULL	NULL	YES	NULL
dbo	tbExpenseDetails2	9	ExpenseAmount	float	NULL	53	NULL	YES	NULL
dbo	tbExpenseDetails2	10	ExpenseRemarks	varchar	-1	NULL	NULL	YES	NULL
dbo	tbExpenseDetails2	11	ExpenseStatus	varchar	5	NULL	NULL	YES	NULL
dbo	tbExpenseDetails2	12	UserID	int	NULL	10	0	YES	NULL
dbo	tbExpenseDetails2	13	ExpenseTotalAmount	float	NULL	53	NULL	YES	NULL
dbo	tbExpenseDetails2	14	ExpenseLocation	varchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetails2	15	ReportID	varchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetails2	16	WorkWith	nvarchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetails2	17	ServiceNumber	nvarchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetails2	18	Instrument	nvarchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetails2	19	SerialNumber	nvarchar	50	NULL	NULL	YES	NULL
dbo	tbExpenseDetails2	20	MDays	varchar	10	NULL	NULL	YES	NULL
