SchemaName	TableName	ColumnOrder	ColumnName	DataType	MaxLength	Precision	Scale	IsNullable	IsIdentity
dbo	tbCashAdvance	1	ID	int	4	10	0	0	1
dbo	tbCashAdvance	2	ReportID	varchar	50	0	0	1	0
dbo	tbCashAdvance	3	emp_userID	int	4	10	0	1	0
dbo	tbCashAdvance	4	CashAmount	float	8	53	0	1	0
dbo	tbCashAdvance	5	CashDate	varchar	50	0	0	1	0
dbo	tbCashAdvance	6	CashRefDoc	varchar	50	0	0	1	0
dbo	tbCashAdvance	7	CashRefNo	varchar	50	0	0	1	0
dbo	tbCashAdvance	8	BalanceTo	varchar	50	0	0	1	0
dbo	tbCashAdvance	9	RevolvingFund	varchar	50	0	0	1	0
dbo	tbCashAdvance	10	CashCheck	varchar	1	0	0	1	0
dbo	tbExeUpdater	1	ID	int	4	10	0	0	1
dbo	tbExeUpdater	2	FileName	varchar	50	0	0	1	0
dbo	tbExeUpdater	3	FileLocation	varchar	-1	0	0	1	0
dbo	tbExeUpdater	4	FileExe	varbinary	-1	0	0	1	0
dbo	tbExeUpdater	5	FileVersion	varchar	10	0	0	1	0
dbo	tbExeUpdater	6	DateUpdated	datetime	8	23	3	1	0
dbo	tbExpenseDetails	1	ID	int	4	10	0	1	0
dbo	tbExpenseDetails	2	ExpenseTransDate	date	3	10	0	1	0
dbo	tbExpenseDetails	3	ExpensePerdiem	varchar	1	0	0	1	0
dbo	tbExpenseDetails	4	ExpenseParticulars	varchar	-1	0	0	1	0
dbo	tbExpenseDetails	5	ExpenseInvoice	varchar	25	0	0	1	0
dbo	tbExpenseDetails	6	ExpenseMultiplier	int	4	10	0	1	0
dbo	tbExpenseDetails	7	ExpenseType	varchar	10	0	0	1	0
dbo	tbExpenseDetails	8	ExpenseCategory	varchar	25	0	0	1	0
dbo	tbExpenseDetails	9	ExpenseAmount	float	8	53	0	1	0
dbo	tbExpenseDetails	10	ExpenseRemarks	varchar	-1	0	0	1	0
dbo	tbExpenseDetails	11	ExpenseStatus	varchar	5	0	0	1	0
dbo	tbExpenseDetails	12	UserID	int	4	10	0	1	0
dbo	tbExpenseDetails	13	ExpenseTotalAmount	float	8	53	0	1	0
dbo	tbExpenseDetails	14	ExpenseLocation	varchar	50	0	0	1	0
dbo	tbExpenseDetails	15	ReportID	varchar	50	0	0	1	0
dbo	tbExpenseDetails	16	WorkWith	nvarchar	100	0	0	1	0
dbo	tbExpenseDetails	17	ServiceNumber	nvarchar	100	0	0	1	0
dbo	tbExpenseDetails	18	Instrument	nvarchar	100	0	0	1	0
dbo	tbExpenseDetails	19	SerialNumber	nvarchar	100	0	0	1	0
dbo	tbExpenseDetails	20	Sort	int	4	10	0	1	0
dbo	tbExpenseDetails	21	MDays	varchar	10	0	0	1	0
dbo	tbExpenseDetails	22	Computation	varchar	255	0	0	1	0
dbo	tbExpenseDetails	23	TotDays	varchar	10	0	0	1	0
dbo	tbExpenseDetails	24	NumberEdited	int	4	10	0	1	0
dbo	tbExpenseDetails2	1	ID	int	4	10	0	1	0
dbo	tbExpenseDetails2	2	ExpenseTransDate	date	3	10	0	1	0
dbo	tbExpenseDetails2	3	ExpensePerdiem	varchar	1	0	0	1	0
dbo	tbExpenseDetails2	4	ExpenseParticulars	varchar	-1	0	0	1	0
dbo	tbExpenseDetails2	5	ExpenseInvoice	varchar	25	0	0	1	0
dbo	tbExpenseDetails2	6	ExpenseMultiplier	int	4	10	0	1	0
dbo	tbExpenseDetails2	7	ExpenseType	varchar	10	0	0	1	0
dbo	tbExpenseDetails2	8	ExpenseCategory	varchar	25	0	0	1	0
dbo	tbExpenseDetails2	9	ExpenseAmount	float	8	53	0	1	0
dbo	tbExpenseDetails2	10	ExpenseRemarks	varchar	-1	0	0	1	0
dbo	tbExpenseDetails2	11	ExpenseStatus	varchar	5	0	0	1	0
dbo	tbExpenseDetails2	12	UserID	int	4	10	0	1	0
dbo	tbExpenseDetails2	13	ExpenseTotalAmount	float	8	53	0	1	0
dbo	tbExpenseDetails2	14	ExpenseLocation	varchar	50	0	0	1	0
dbo	tbExpenseDetails2	15	ReportID	varchar	50	0	0	1	0
dbo	tbExpenseDetails2	16	WorkWith	nvarchar	100	0	0	1	0
dbo	tbExpenseDetails2	17	ServiceNumber	nvarchar	100	0	0	1	0
dbo	tbExpenseDetails2	18	Instrument	nvarchar	100	0	0	1	0
dbo	tbExpenseDetails2	19	SerialNumber	nvarchar	100	0	0	1	0
dbo	tbExpenseDetails2	20	MDays	varchar	10	0	0	1	0
dbo	tbExpenseDetails2	21	Computation	varchar	255	0	0	1	0
dbo	tbExpenseDetails2	22	TotDays	varchar	10	0	0	1	0
dbo	tbExpenseDetails2	23	Sort	int	4	10	0	1	0
dbo	tbExpenseDetailsHistory	1	id	int	4	10	0	1	0
dbo	tbExpenseDetailsHistory	2	ExpenseTransDate	date	3	10	0	1	0
dbo	tbExpenseDetailsHistory	3	ExpensePerdiem	varchar	1	0	0	1	0
dbo	tbExpenseDetailsHistory	4	ExpenseParticulars	varchar	-1	0	0	1	0
dbo	tbExpenseDetailsHistory	5	ExpenseInvoice	varchar	25	0	0	1	0
dbo	tbExpenseDetailsHistory	6	ExpenseMultiplier	int	4	10	0	1	0
dbo	tbExpenseDetailsHistory	7	ExpenseType	varchar	10	0	0	1	0
dbo	tbExpenseDetailsHistory	8	ExpenseCategory	varchar	25	0	0	1	0
dbo	tbExpenseDetailsHistory	9	ExpenseAmount	float	8	53	0	1	0
dbo	tbExpenseDetailsHistory	10	ExpenseRemarks	varchar	-1	0	0	1	0
dbo	tbExpenseDetailsHistory	11	ExpenseStatus	varchar	5	0	0	1	0
dbo	tbExpenseDetailsHistory	12	UserID	int	4	10	0	1	0
dbo	tbExpenseDetailsHistory	13	ExpenseTotalAmount	float	8	53	0	1	0
dbo	tbExpenseDetailsHistory	14	ExpenseLocation	varchar	50	0	0	1	0
dbo	tbExpenseDetailsHistory	15	ReportID	varchar	50	0	0	1	0
dbo	tbExpenseDetailsHistory	16	WorkWith	nvarchar	100	0	0	1	0
dbo	tbExpenseDetailsHistory	17	ServiceNumber	nvarchar	100	0	0	1	0
dbo	tbExpenseDetailsHistory	18	Instrument	nvarchar	100	0	0	1	0
dbo	tbExpenseDetailsHistory	19	SerialNumber	nvarchar	100	0	0	1	0
dbo	tbExpenseDetailsHistory	20	Sort	int	4	10	0	1	0
dbo	tbExpenseDetailsHistory	21	EditedByUserID	bigint	8	19	0	1	0
dbo	tbExpenseDetailsHistory	22	DateCreated	datetime	8	23	3	1	0
dbo	tbExpenseDetailsHistory	23	MDays	varchar	10	0	0	1	0
dbo	tbExpenseDetailsHistory	24	Computation	varchar	255	0	0	1	0
dbo	tbExpenseDetailsHistory	25	TotDays	varchar	10	0	0	1	0
dbo	tbExpenseMealItem	1	id	int	4	10	0	0	1
dbo	tbExpenseMealItem	2	Meal	varchar	50	0	0	1	0
dbo	tbExpenseMealItem	3	PaidFor	varchar	1	0	0	1	0
dbo	tbExpenseMealItem	4	PaidEmp	varchar	100	0	0	1	0
dbo	tbExpenseMealItem	5	ExpenseID	bigint	8	19	0	1	0
dbo	tbExpenseTransportationItem	1	id	int	4	10	0	0	1
dbo	tbExpenseTransportationItem	2	expense_id	bigint	8	19	0	1	0
dbo	tbExpenseTransportationItem	3	FareID	varchar	1	0	0	1	0
dbo	tbExpenseTransportationItem	4	FareFrom	varchar	50	0	0	1	0
dbo	tbExpenseTransportationItem	5	FareTo	varchar	50	0	0	1	0
dbo	tbFare	1	id	int	4	10	0	0	1
dbo	tbFare	2	SortID	bigint	8	19	0	1	0
dbo	tbFare	3	FareName	varchar	25	0	0	1	0
dbo	tblClient	1	ID	int	4	10	0	0	1
dbo	tblClient	2	clientName	nvarchar	-1	0	0	1	0
dbo	tblClient1	1	ID	int	4	10	0	0	1
dbo	tblClient1	2	clientName	nvarchar	-1	0	0	1	0
dbo	tblClient1	3	clientCode	nvarchar	100	0	0	0	0
dbo	tblClientInstrument	1	ID	int	4	10	0	0	1
dbo	tblClientInstrument	2	ItemDescription	varchar	225	0	0	1	0
dbo	tblClientInstrument	3	SerialNumber	varchar	30	0	0	1	0
dbo	tblClientInstrument	4	Location	varchar	-1	0	0	1	0
dbo	tblClientInstrument1	1	ItemDescription	varchar	225	0	0	1	0
dbo	tblClientInstrument1	2	SerialNumber	varchar	30	0	0	1	0
